R_fighter;B_fighter;Winner
Sean Brady;Ismail Naurdiev;Sean Brady
Aalon Cruz;Spike Carlyle;Spike Carlyle
Luis Pena;Steve Garcia;Luis Pena
Jimmy Crute;Michal Oleksiejczuk;Jimmy Crute
Paul Felder;Dan Hooker;Dan Hooker
Jalin Turner;Josh Culibao;Jalin Turner
Karolina Kowalkiewicz;Yan Xiaonan;Yan Xiaonan
Ben Sosoli;Marcos Rogerio de Lima;Marcos Rogerio de Lima
Brad Riddell;Magomed Mustafaev;Brad Riddell
Kevin Aguilar;Zubaira Tukhugov;Zubaira Tukhugov
Jake Matthews;Emil Meek;Jake Matthews
Loma Lookboonmee;Angela Hill;Angela Hill
