R_fighter;B_fighter;Winner
Kai Kara-France;Tyson Nam;Kai Kara-France
Callan Potter;Song Kenan;Song Kenan
Priscila Cachoeira;Shana Dobson;Priscila Cachoeira
Tim Means;Daniel Rodriguez;Daniel Rodriguez
Lando Vannata;Yancy Medeiros;Lando Vannata
Brok Weaver;Kazula Vargas;Brok Weaver
Montana De La Rosa;Mara Romero Borella;Montana De La Rosa
Rogerio Bontorin;Ray Borg;Ray Borg
Diego Sanchez;Michel Pereira;Diego Sanchez
Corey Anderson;Jan Blachowicz;Jan Blachowicz
John Dodson;Nathaniel Wood;John Dodson
Jim Miller;Scott Holtzman;Scott Holtzman
Devin Clark;Dequan Townsend;Devin Clark
Casey Kenney;Merab Dvalishvili;Merab Dvalishvili
Mark De La Rosa;Raulian Paiva;Raulian Paiva
Macy Chiasson;Shanna Young;Macy Chiasson
Valentina Shevchenko;Katlyn Chookagian;Valentina Shevchenko
Juan Adams;Justin Tafa;Justin Tafa
Trevin Giles;James Krause;Trevin Giles
Derrick Lewis;Ilir Latifi;Derrick Lewis
Lauren Murphy;Andrea Lee;Lauren Murphy
Jon Jones;Dominick Reyes;Jon Jones
Mirsad Bektic;Dan Ige;Dan Ige
Alex Morono;Khaos Williams;Khaos Williams
Andre Ewell;Jonathan Martinez;Andre Ewell
Domingo Pilarte;Journey Newson;
Miles Johns;Mario Bautista;Mario Bautista
Austin Lingo;Youssef Zalal;Youssef Zalal
Curtis Blaydes;Junior Dos Santos;Curtis Blaydes
Justine Kish;Lucie Pudilova;Justine Kish
Bevon Lewis;Dequan Townsend;Bevon Lewis
Jordan Espinosa;Alex Perez;Alex Perez
Jamahal Hill;Darko Stosic;Jamahal Hill
Rafael Dos Anjos;Michael Chiesa;Michael Chiesa
Montel Jackson;Felipe Colares;Montel Jackson
Arnold Allen;Nik Lentz;Arnold Allen
Sara McMann;Lina Lansberg;Sara McMann
Hannah Cifers;Angela Hill;Angela Hill
Brett Johns;Tony Gravely;Brett Johns
Herbert Burns;Nate Landwehr;Herbert Burns
Anthony Pettis;Diego Ferreira;Diego Ferreira
Tim Elliott;Askar Askarov;Askar Askarov
Aleksei Oleinik;Maurice Greene;Aleksei Oleinik
Holly Holm;Raquel Pennington;Holly Holm
Conor McGregor;Donald Cerrone;Conor McGregor
Roxanne Modafferi;Maycee Barber;Roxanne Modafferi
Andre Fili;Sodiq Yusuff;Sodiq Yusuff
Brian Kelleher;Ode Osbourne;Brian Kelleher
Drew Dober;Nasrat Haqparast;Drew Dober
Aleksa Camur;Justin Ledet;Aleksa Camur
Sabina Mazo;JJ Aldrich;Sabina Mazo
Dooho Choi;Charles Jourdain;Charles Jourdain
Volkan Oezdemir;Aleksandar Rakic;Volkan Oezdemir
Frankie Edgar;Chan Sung Jung;Chan Sung Jung
Da-Un Jung;Mike Rodriguez;Da-Un Jung
SeungWoo Choi;Suman Mokhtarian;SeungWoo Choi
Kyung Ho Kang;Pingyuan Liu;Kyung Ho Kang
Ciryl Gane;Tanner Boser;Ciryl Gane
Dong Hyun Ma;Omar Morales;Omar Morales
Miranda Granger;Amanda Lemos;Amanda Lemos
Alexandre Pantoja;Matt Schnell;Alexandre Pantoja
Heili Alateng;Ryan Benoit;Heili Alateng
Junyong Park;Marc-Andre Barriault;Junyong Park
Raoni Barcelos;Said Nurmagomedov;Raoni Barcelos
Geoff Neal;Mike Perry;Geoff Neal
Ian Heinisch;Omari Akhmedov;Omari Akhmedov
Amanda Nunes;Germaine de Randamie;Amanda Nunes
Max Holloway;Alexander Volkanovski;Alexander Volkanovski
Petr Yan;Urijah Faber;Petr Yan
Kamaru Usman;Colby Covington;Kamaru Usman
Marlon Moraes;Jose Aldo;Marlon Moraes
Ketlen Vieira;Irene Aldana;Irene Aldana
Brandon Moreno;Kai Kara-France;Brandon Moreno
Matt Brown;Ben Saunders;Matt Brown
Chase Hooper;Daniel Teymur;Chase Hooper
Jessica Eye;Viviane Araujo;Jessica Eye
Punahele Soriano;Oskar Piechota;Punahele Soriano
Marina Rodriguez;Cynthia Calvillo;
Alistair Overeem;Jairzinho Rozenstruik;Jairzinho Rozenstruik
Aspen Ladd;Yana Kunitskaya;Aspen Ladd
Rob Font;Ricky Simon;Rob Font
Cody Stamann;Song Yadong;
Stefan Struve;Ben Rothwell;Ben Rothwell
Thiago Alves;Tim Means;Tim Means
Billy Quarantillo;Jacob Kilburn;Billy Quarantillo
Joe Solecki;Matt Wiman;Joe Solecki
Bryce Mitchell;Matt Sayles;Bryce Mitchell
Virna Jandiroba;Mallory Martin;Virna Jandiroba
Makhmud Muradov;Trevor Smith;Makhmud Muradov
Sergio Moraes;James Krause;James Krause
Charles Oliveira;Jared Gordon;Charles Oliveira
Jan Blachowicz;Jacare Souza;Jan Blachowicz
Ricardo Ramos;Eduardo Garagorri;Ricardo Ramos
Antonio Arroyo;Andre Muniz;Andre Muniz
Mauricio Rua;Paul Craig;
Markus Perez;Wellington Turman;Wellington Turman
Warlley Alves;Randy Brown;Randy Brown
Ariane Lipski;Isabela de Padua;Ariane Lipski
Douglas Silva de Andrade;Renan Barao;Douglas Silva de Andrade
Vanessa Melo;Tracy Cortez;Tracy Cortez
Francisco Trinaldo;Bobby Green;Francisco Trinaldo
Alexander Volkov;Greg Hardy;Alexander Volkov
Shamil Gamzatov;Klidson Abreu;Shamil Gamzatov
Zelim Imadaev;Danny Roberts;Danny Roberts
Rustam Khabilov;Sergey Khandozhko;Rustam Khabilov
Khadis Ibragimov;Ed Herman;Ed Herman
Ramazan Emeev;Anthony Rocco Martin;Anthony Rocco Martin
Zabit Magomedsharipov;Calvin Kattar;Zabit Magomedsharipov
Magomed Ankalaev;Dalcha Lungiambula;Magomed Ankalaev
Abubakar Nurmagomedov;David Zawada;David Zawada
Roman Kopylov;Karl Roberson;Karl Roberson
Alexander Yakovlev;Roosevelt Roberts;Roosevelt Roberts
Jessica-Rose Clark;Pannie Kianzad;Pannie Kianzad
Grigory Popov;Davey Grant;Davey Grant
Kevin Lee;Gregor Gillespie;Kevin Lee
Stephen Thompson;Vicente Luque;Stephen Thompson
Jorge Masvidal;Nate Diaz;Jorge Masvidal
Shane Burgos;Makwan Amirkhani;Shane Burgos
Corey Anderson;Johnny Walker;Corey Anderson
Kelvin Gastelum;Darren Till;Darren Till
Derrick Lewis;Blagoy Ivanov;Derrick Lewis
Brad Tavares;Edmen Shahbazyan;Edmen Shahbazyan
Andrei Arlovski;Jairzinho Rozenstruik;Jairzinho Rozenstruik
Katlyn Chookagian;Jennifer Maia;Katlyn Chookagian
Julio Arce;Hakeem Dawodu;Hakeem Dawodu
Lyman Good;Chance Rencountre;Lyman Good
Ciryl Gane;Don'Tale Mayes;Ciryl Gane
Michael Johnson;Stevie Ray;Stevie Ray
Enrique Barzola;Movsar Evloev;Movsar Evloev
Randa Markos;Ashley Yoder;Randa Markos
Frank Camacho;Beneil Dariush;Beneil Dariush
Muslim Salikhov;Laureano Staropoli;Muslim Salikhov
Demian Maia;Ben Askren;Demian Maia
Alex White;Rafael Fiziev;Rafael Fiziev
Maurice Greene;Sergei Pavlovich;Sergei Pavlovich
Loma Lookboonmee;Aleksandra Albu;Loma Lookboonmee
Raphael Pessoa;Jeff Hughes;Raphael Pessoa
Maycee Barber;Gillian Robertson;Maycee Barber
Greg Hardy;Ben Sosoli;
Deron Winn;Darren Stewart;Darren Stewart
Molly McCann;Diana Belbita;Molly McCann
Charles Rosa;Manny Bermudez;Charles Rosa
Joe Lauzon;Jonathan Pearce;Joe Lauzon
Dominick Reyes;Chris Weidman;Dominick Reyes
Yair Rodriguez;Jeremy Stephens;Yair Rodriguez
Randy Costa;Boston Salmon;Randy Costa
Brendan Allen;Kevin Holland;Brendan Allen
Kyle Bochniak;Sean Woodson;Sean Woodson
Daniel Spitz;Tanner Boser;Tanner Boser
Court McGee;Sean Brady;Sean Brady
Ryan Spann;Devin Clark;Ryan Spann
Mackenzie Dern;Amanda Ribas;Amanda Ribas
Mike Davis;Thomas Gifford;Mike Davis
Cub Swanson;Kron Gracie;Cub Swanson
Matt Frevola;Luis Pena;Matt Frevola
Eryk Anders;Gerald Meerschaert;Eryk Anders
Joanna Jedrzejczyk;Michelle Waterson;Joanna Jedrzejczyk
Niko Price;James Vick;Niko Price
Max Griffin;Alex Morono;Alex Morono
Deiveson Figueiredo;Tim Elliott;Deiveson Figueiredo
Marlon Vera;Andre Ewell;Marlon Vera
Miguel Baeza;Hector Aldana;Miguel Baeza
Marvin Vettori;Andrew Sanchez;Marvin Vettori
JJ Aldrich;Lauren Mueller;JJ Aldrich
Justin Tafa;Yorgan De Castro;Yorgan De Castro
Robert Whittaker;Israel Adesanya;Israel Adesanya
Jake Matthews;Rostem Akman;Jake Matthews
Tai Tuivasa;Serghei Spivac;Serghei Spivac
Brad Riddell;Jamie Mullarkey;Brad Riddell
Al Iaquinta;Dan Hooker;Dan Hooker
Callan Potter;Maki Pitolo;Callan Potter
Luke Jumeau;Dhiego Lima;Dhiego Lima
Megan Anderson;Zarah Fairn;Megan Anderson
Khalid Taha;Bruno Silva;
Nadia Kassem;Ji Yeon Kim;Ji Yeon Kim
Ion Cutelaba;Khalil Rountree Jr.;Ion Cutelaba
Michal Oleksiejczuk;Ovince Saint Preux;Ovince Saint Preux
Alen Amedovski;John Phillips;John Phillips
Nicolas Dalby;Alex Oliveira;Nicolas Dalby
Gunnar Nelson;Gilbert Burns;Gilbert Burns
Jack Hermansson;Jared Cannonier;Jared Cannonier
Mark Madsen;Danilo Belluardo;Mark Madsen
Alessio Di Chirico;Makhmud Muradov;Makhmud Muradov
Siyar Bahadurzada;Ismail Naurdiev;Ismail Naurdiev
Macy Chiasson;Lina Lansberg;Lina Lansberg
Brandon Davis;Giga Chikadze;Giga Chikadze
Marc Diakiese;Lando Vannata;Marc Diakiese
Jack Shore;Nohelin Hernandez;Jack Shore
Martin Bravo;Steven Peterson;Steven Peterson
Jose Quinonez;Carlos Huachin;Jose Quinonez
Carla Esparza;Alexa Grasso;Carla Esparza
Ariane Carnelossi;Angela Hill;Angela Hill
Marco Polo Reyes;Kyle Nelson;Kyle Nelson
Brandon Moreno;Askar Askarov;
Irene Aldana;Vanessa Melo;Irene Aldana
Yair Rodriguez;Jeremy Stephens;
Vinicius Moreira;Paul Craig;Paul Craig
Claudio Puelles;Marcos Mariano;Claudio Puelles
Sijara Eubanks;Bethe Correia;Bethe Correia
Sergio Pettis;Tyson Nam;Sergio Pettis
Donald Cerrone;Justin Gaethje;Justin Gaethje
Misha Cirkunov;Jimmy Crute;Misha Cirkunov
Cole Smith;Miles Johns;Miles Johns
Marcin Tybura;Augusto Sakai;Augusto Sakai
Uriah Hall;Antonio Carlos Junior;Uriah Hall
Glover Teixeira;Nikita Krylov;Glover Teixeira
Todd Duffee;Jeff Hughes;
Michel Pereira;Tristan Connelly;Tristan Connelly
Louis Smolka;Ryan MacDonald;Louis Smolka
Kyle Prepolec;Austin Hubbard;Austin Hubbard
Chas Skelly;Jordan Griffin;Chas Skelly
Brad Katona;Hunter Azure;Hunter Azure
Zubaira Tukhugov;Lerone Murphy;
Curtis Blaydes;Shamil Abdurakhimov;Curtis Blaydes
Liana Jojua;Sarah Moras;Sarah Moras
Islam Makhachev;Davi Ramos;Islam Makhachev
Khabib Nurmagomedov;Dustin Poirier;Khabib Nurmagomedov
Edson Barboza;Paul Felder;Paul Felder
Joanne Calderwood;Andrea Lee;Joanne Calderwood
Mairbek Taisumov;Diego Ferreira;Diego Ferreira
Ottman Azaitar;Teemu Packalen;Ottman Azaitar
Omari Akhmedov;Zak Cummings;Omari Akhmedov
Belal Muhammad;Takashi Sato;Belal Muhammad
Don Madge;Fares Ziam;Don Madge
Nordine Taleb;Muslim Salikhov;Muslim Salikhov
Da-Un Jung;Khadis Ibragimov;Da-Un Jung
Kai Kara-France;Mark De La Rosa;Kai Kara-France
Li Jingliang;Elizeu Zaleski dos Santos;Li Jingliang
Su Mudaerji;Andre Soukhamthath;Su Mudaerji
Wu Yanan;Inoue Mizuki;Inoue Mizuki
Jessica Andrade;Zhang Weili;Zhang Weili
Song Kenan;Derrick Krantz;Song Kenan
Junyong Park;Anthony Hernandez;Anthony Hernandez
Damir Ismagulov;Thiago Moises;Damir Ismagulov
Karol Rosa;Lara Procopio;Karol Rosa
Heili Alateng;Batgerel Danaa;Heili Alateng
Devonte Smith;Khama Worthy;Khama Worthy
Anthony Pettis;Nate Diaz;Nate Diaz
Christos Giagos;Drakkar Klose;Drakkar Klose
Yoel Romero;Paulo Costa;Paulo Costa
Raphael Assuncao;Cory Sandhagen;Cory Sandhagen
Gabriel Benitez;Sodiq Yusuff;Sodiq Yusuff
Derek Brunson;Ian Heinisch;Derek Brunson
Daniel Cormier;Stipe Miocic;Stipe Miocic
Kyung Ho Kang;Brandon Davis;Kyung Ho Kang
Hannah Cifers;Jodie Esquibel;Hannah Cifers
Manny Bermudez;Casey Kenney;Casey Kenney
Sabina Mazo;Shana Dobson;Sabina Mazo
Eduardo Garagorri;Humberto Bandenay;Eduardo Garagorri
Vicente Luque;Mike Perry;Vicente Luque
Gilbert Burns;Aleksei Kunchenko;Gilbert Burns
Volkan Oezdemir;Ilir Latifi;Volkan Oezdemir
Ciryl Gane;Raphael Pessoa;Ciryl Gane
Enrique Barzola;Bobby Moffett;Enrique Barzola
Rodolfo Vieira;Oskar Piechota;Rodolfo Vieira
Valentina Shevchenko;Liz Carmouche;Valentina Shevchenko
Tecia Torres;Marina Rodriguez;Marina Rodriguez
Rogerio Bontorin;Raulian Paiva;Rogerio Bontorin
Geraldo de Freitas;Chris Gutierrez;Chris Gutierrez
Veronica Macedo;Polyana Viana;Veronica Macedo
Kazula Vargas;Alex Da Silva;Alex Da Silva
Joaquim Silva;Nasrat Haqparast;Nasrat Haqparast
Scott Holtzman;Dong Hyun Ma;Scott Holtzman
Darko Stosic;Kennedy Nzechukwu;Kennedy Nzechukwu
Antonina Shevchenko;Lucie Pudilova;Antonina Shevchenko
Colby Covington;Robbie Lawler;Colby Covington
Jim Miller;Clay Guida;Jim Miller
Trevin Giles;Gerald Meerschaert;Gerald Meerschaert
Miranda Granger;Hannah Goldy;Miranda Granger
Jordan Espinosa;Matt Schnell;Matt Schnell
Lauren Murphy;Mara Romero Borella;Lauren Murphy
Claudio Silva;Cole Williams;Claudio Silva
Mickey Gall;Salim Touahri;Mickey Gall
Gavin Tucker;SeungWoo Choi;Gavin Tucker
Geoff Neal;Niko Price;Geoff Neal
Hakeem Dawodu;Yoshinori Horie;Hakeem Dawodu
Marc-Andre Barriault;Krzysztof Jotko;Krzysztof Jotko
Cristiane Justino;Felicia Spencer;Cristiane Justino
Olivier Aubin-Mercier;Arman Tsarukyan;Arman Tsarukyan
Alexis Davis;Viviane Araujo;Viviane Araujo
Max Holloway;Frankie Edgar;Max Holloway
Alexandre Pantoja;Deiveson Figueiredo;Deiveson Figueiredo
Gillian Robertson;Sarah Frota;Gillian Robertson
Erik Koch;Kyle Stewart;Erik Koch
Raquel Pennington;Irene Aldana;Raquel Pennington
Rafael Dos Anjos;Leon Edwards;Leon Edwards
Alex Caceres;Steven Peterson;Alex Caceres
Alexander Hernandez;Francisco Trinaldo;Alexander Hernandez
James Vick;Dan Hooker;Dan Hooker
Aleksei Oleinik;Walt Harris;Walt Harris
Andrei Arlovski;Ben Rothwell;Andrei Arlovski
Greg Hardy;Juan Adams;Greg Hardy
Roxanne Modafferi;Jennifer Maia;Jennifer Maia
Sam Alvey;Klidson Abreu;Klidson Abreu
Domingo Pilarte;Felipe Colares;Felipe Colares
Ray Borg;Gabriel Silva;Ray Borg
Mario Bautista;Jin Soo Son;Mario Bautista
Andre Fili;Sheymon Moraes;Andre Fili
Marvin Vettori;Cezar Ferreira;Marvin Vettori
Josh Emmett;Mirsad Bektic;Josh Emmett
Julianna Pena;Nicco Montano;Julianna Pena
Mike Rodriguez;John Allan;
Urijah Faber;Ricky Simon;Urijah Faber
Germaine de Randamie;Aspen Ladd;Germaine de Randamie
Karl Roberson;Wellington Turman;Karl Roberson
Pingyuan Liu;Jonathan Martinez;Jonathan Martinez
Benito Lopez;Vince Morales;Benito Lopez
Livinha Souza;Brianna Van Buren;Brianna Van Buren
Darren Elkins;Ryan Hall;Ryan Hall
Jorge Masvidal;Ben Askren;Jorge Masvidal
Marlon Vera;Nohelin Hernandez;Marlon Vera
Amanda Nunes;Holly Holm;Amanda Nunes
Diego Sanchez;Michael Chiesa;Michael Chiesa
Jon Jones;Thiago Santos;Jon Jones
Gilbert Melendez;Arnold Allen;Arnold Allen
Claudia Gadelha;Randa Markos;Claudia Gadelha
Jan Blachowicz;Luke Rockhold;Jan Blachowicz
Edmen Shahbazyan;Jack Marshman;Edmen Shahbazyan
Alejandro Perez;Song Yadong;Song Yadong
Ismail Naurdiev;Chance Rencountre;Chance Rencountre
Julia Avila;Pannie Kianzad;Julia Avila
Eryk Anders;Vinicius Moreira;Eryk Anders
Jussier Formiga;Joseph Benavidez;Joseph Benavidez
Roosevelt Roberts;Vinc Pichel;Vinc Pichel
Francis Ngannou;Junior Dos Santos;Francis Ngannou
Alonzo Menifield;Paul Craig;Alonzo Menifield
Drew Dober;Marco Polo Reyes;Drew Dober
Demian Maia;Anthony Rocco Martin;Demian Maia
Ricardo Ramos;Journey Newson;Ricardo Ramos
Emily Whitmire;Amanda Ribas;Amanda Ribas
Dalcha Lungiambula;Dequan Townsend;Dalcha Lungiambula
Maurice Greene;Junior Albini;Maurice Greene
Jared Gordon;Dan Moret;Jared Gordon
Kevin Holland;Alessio Di Chirico;Kevin Holland
Ashley Yoder;Syuri Kondo;Ashley Yoder
Matt Wiman;Luis Pena;Luis Pena
Andrea Lee;Montana De La Rosa;Andrea Lee
Renato Moicano;Chan Sung Jung;Chan Sung Jung
Bryan Barberena;Randy Brown;Randy Brown
Dan Ige;Kevin Aguilar;Dan Ige
Andre Ewell;Anderson Dos Santos;Andre Ewell
Allen Crowder;Jairzinho Rozenstruik;Jairzinho Rozenstruik
Ariane Lipski;Molly McCann;Molly McCann
Deron Winn;Eric Spicely;Deron Winn
Aljamain Sterling;Pedro Munhoz;Aljamain Sterling
Tatiana Suarez;Nina Ansaroff;Tatiana Suarez
Tai Tuivasa;Blagoy Ivanov;Blagoy Ivanov
Valentina Shevchenko;Jessica Eye;Valentina Shevchenko
Jimmie Rivera;Petr Yan;Petr Yan
Tony Ferguson;Donald Cerrone;Tony Ferguson
Karolina Kowalkiewicz;Alexa Grasso;Alexa Grasso
Henry Cejudo;Marlon Moraes;Henry Cejudo
Yan Xiaonan;Angela Hill;Yan Xiaonan
Katlyn Chookagian;Joanne Calderwood;Katlyn Chookagian
Bevon Lewis;Darren Stewart;Darren Stewart
Ricardo Lamas;Calvin Kattar;Calvin Kattar
Eddie Wineland;Grigory Popov;Eddie Wineland
Stevie Ray;Leonardo Santos;Leonardo Santos
Tonya Evinger;Lina Lansberg;Lina Lansberg
Damir Hadzovic;Christos Giagos;Christos Giagos
Makwan Amirkhani;Chris Fishgold;Makwan Amirkhani
Alexander Gustafsson;Anthony Smith;Anthony Smith
Daniel Teymur;Sung Bin Jo;Daniel Teymur
Rostem Akman;Sergey Khandozhko;Sergey Khandozhko
Jimi Manuwa;Aleksandar Rakic;Aleksandar Rakic
Darko Stosic;Devin Clark;Devin Clark
Joel Alvarez;Danilo Belluardo;Joel Alvarez
Nick Hein;Frank Camacho;Frank Camacho
Bea Malecki;Duda Santana;Bea Malecki
Davi Ramos;Austin Hubbard;Davi Ramos
Vicente Luque;Derrick Krantz;Vicente Luque
Rafael Dos Anjos;Kevin Lee;Rafael Dos Anjos
Aspen Ladd;Sijara Eubanks;Aspen Ladd
Desmond Green;Charles Jourdain;Desmond Green
Megan Anderson;Felicia Spencer;Felicia Spencer
Antonio Carlos Junior;Ian Heinisch;Ian Heinisch
Charles Oliveira;Nik Lentz;Charles Oliveira
Zak Cummings;Trevin Giles;Zak Cummings
Michael Trizano;Grant Dawson;Grant Dawson
Danny Roberts;Michel Pereira;Michel Pereira
Patrick Cummins;Ed Herman;Ed Herman
Julio Arce;Julian Erosa;Julio Arce
Irene Aldana;Bethe Correia;Irene Aldana
Jared Cannonier;Anderson Silva;Jared Cannonier
Rogerio Nogueira;Ryan Spann;Ryan Spann
Thiago Moises;Kurt Holobaugh;Thiago Moises
Jose Aldo;Alexander Volkanovski;Alexander Volkanovski
Thiago Alves;Laureano Staropoli;Laureano Staropoli
Warlley Alves;Sergio Moraes;Warlley Alves
Rose Namajunas;Jessica Andrade;Jessica Andrade
Raoni Barcelos;Carlos Huachin;Raoni Barcelos
BJ Penn;Clay Guida;Clay Guida
Luana Carolina;Priscila Cachoeira;Luana Carolina
Talita Bernardo;Viviane Araujo;Viviane Araujo
Walt Harris;Serghei Spivac;Walt Harris
Al Iaquinta;Donald Cerrone;Donald Cerrone
Marc-Andre Barriault;Andrew Sanchez;Andrew Sanchez
Aiemann Zahabi;Vince Morales;Vince Morales
Derek Brunson;Elias Theodorou;Derek Brunson
Macy Chiasson;Sarah Moras;Macy Chiasson
Cub Swanson;Shane Burgos;Shane Burgos
Brad Katona;Merab Dvalishvili;Merab Dvalishvili
Nordine Taleb;Kyle Prepolec;Nordine Taleb
Kyle Nelson;Matt Sayles;Matt Sayles
Arjan Bhullar;Juan Adams;Arjan Bhullar
Mitch Gagnon;Cole Smith;Cole Smith
Andrei Arlovski;Augusto Sakai;Augusto Sakai
Glover Teixeira;Ion Cutelaba;Glover Teixeira
Greg Hardy;Dmitrii Smoliakov;Greg Hardy
John Lineker;Cory Sandhagen;Cory Sandhagen
Jacare Souza;Jack Hermansson;Jack Hermansson
Roosevelt Roberts;Thomas Gifford;Roosevelt Roberts
Ben Saunders;Takashi Sato;Takashi Sato
Alex Oliveira;Mike Perry;Mike Perry
Angela Hill;Jodie Esquibel;Angela Hill
Carla Esparza;Virna Jandiroba;Carla Esparza
Gilbert Burns;Mike Davis;Gilbert Burns
Jim Miller;Jason Gonzalez;Jim Miller
Court McGee;Dhiego Lima;Dhiego Lima
Roxanne Modafferi;Antonina Shevchenko;Roxanne Modafferi
Alexander Yakovlev;Alex Da Silva;Alexander Yakovlev
Islam Makhachev;Arman Tsarukyan;Islam Makhachev
Krzysztof Jotko;Alen Amedovski;Krzysztof Jotko
Sergei Pavlovich;Marcelo Golm;Sergei Pavlovich
Alistair Overeem;Aleksei Oleinik;Alistair Overeem
Movsar Evloev;SeungWoo Choi;Movsar Evloev
Sultan Aliev;Keita Nakamura;Sultan Aliev
Marcin Tybura;Shamil Abdurakhimov;Shamil Abdurakhimov
Gadzhimurad Antigulov;Michal Oleksiejczuk;Michal Oleksiejczuk
Magomed Mustafaev;Rafael Fiziev;Magomed Mustafaev
Max Holloway;Dustin Poirier;Dustin Poirier
Max Griffin;Zelim Imadaev;Max Griffin
Eryk Anders;Khalil Rountree Jr.;Khalil Rountree Jr.
Alan Jouban;Dwight Grant;Dwight Grant
Jalin Turner;Matt Frevola;Matt Frevola
Ovince Saint Preux;Nikita Krylov;Nikita Krylov
Kelvin Gastelum;Israel Adesanya;Israel Adesanya
Curtis Millender;Belal Muhammad;Belal Muhammad
Wilson Reis;Alexandre Pantoja;Alexandre Pantoja
Boston Salmon;Khalid Taha;Khalid Taha
Montel Jackson;Andre Soukhamthath;Montel Jackson
Brandon Davis;Randy Costa;Brandon Davis
Lauren Mueller;Poliana Botelho;Poliana Botelho
Edson Barboza;Justin Gaethje;Justin Gaethje
Kennedy Nzechukwu;Paul Craig;Paul Craig
Ross Pearson;Desmond Green;Desmond Green
Sodiq Yusuff;Sheymon Moraes;Sodiq Yusuff
Karolina Kowalkiewicz;Michelle Waterson;Michelle Waterson
Marina Rodriguez;Jessica Aguilar;Marina Rodriguez
Josh Emmett;Michael Johnson;Josh Emmett
David Branch;Jack Hermansson;Jack Hermansson
Ray Borg;Casey Kenney;Casey Kenney
Enrique Barzola;Kevin Aguilar;Kevin Aguilar
Kevin Holland;Gerald Meerschaert;Kevin Holland
Alex Perez;Mark De La Rosa;Alex Perez
Sabina Mazo;Maryna Moroz;Maryna Moroz
Bryce Mitchell;Bobby Moffett;Bryce Mitchell
Jussier Formiga;Deiveson Figueiredo;Jussier Formiga
Stephen Thompson;Anthony Pettis;Anthony Pettis
Marlon Vera;Frankie Saenz;Marlon Vera
Curtis Blaydes;Justin Willis;Curtis Blaydes
John Makdessi;Jesus Pinedo;John Makdessi
Maycee Barber;JJ Aldrich;Maycee Barber
Luis Pena;Steven Peterson;Luis Pena
Randa Markos;Angela Hill;Randa Markos
Eric Shelton;Jordan Espinosa;Jordan Espinosa
Alexis Davis;Jennifer Maia;Jennifer Maia
Ryan MacDonald;Chris Gutierrez;Chris Gutierrez
Volkan Oezdemir;Dominick Reyes;Dominick Reyes
Jack Marshman;John Phillips;Jack Marshman
Nathaniel Wood;Jose Quinonez;Nathaniel Wood
Marc Diakiese;Joe Duffy;Marc Diakiese
Arnold Allen;Jordan Rinaldi;Arnold Allen
Danny Roberts;Claudio Silva;Claudio Silva
Darren Till;Jorge Masvidal;Jorge Masvidal
Leon Edwards;Gunnar Nelson;Leon Edwards
Danny Henry;Dan Ige;Dan Ige
Molly McCann;Priscila Cachoeira;Molly McCann
Nicolae Negumereanu;Saparbeg Safarov;Saparbeg Safarov
Mike Grundy;Nad Narimani;Mike Grundy
Blagoy Ivanov;Ben Rothwell;Blagoy Ivanov
Elizeu Zaleski dos Santos;Curtis Millender;Elizeu Zaleski dos Santos
Derrick Lewis;Junior Dos Santos;Junior Dos Santos
Beneil Dariush;Drew Dober;Beneil Dariush
Marion Reneau;Yana Kunitskaya;Yana Kunitskaya
Tim Boetsch;Omari Akhmedov;Omari Akhmedov
Anthony Rocco Martin;Sergio Moraes;Anthony Rocco Martin
Tim Means;Niko Price;Niko Price
Grant Dawson;Julian Erosa;Grant Dawson
Maurice Greene;Jeff Hughes;Maurice Greene
Alex White;Dan Moret;Alex White
Alex Morono;Zak Ottow;Alex Morono
Louis Smolka;Matt Schnell;Matt Schnell
Robbie Lawler;Ben Askren;Ben Askren
Tecia Torres;Zhang Weili;Zhang Weili
Cody Garbrandt;Pedro Munhoz;Pedro Munhoz
Jon Jones;Anthony Smith;Jon Jones
Jeremy Stephens;Zabit Magomedsharipov;Zabit Magomedsharipov
Tyron Woodley;Kamaru Usman;Kamaru Usman
Misha Cirkunov;Johnny Walker;Johnny Walker
Cody Stamann;Alejandro Perez;Cody Stamann
Diego Sanchez;Mickey Gall;Diego Sanchez
Gina Mazany;Macy Chiasson;Macy Chiasson
Edmen Shahbazyan;Charles Byrd;Edmen Shahbazyan
Polyana Viana;Hannah Cifers;Hannah Cifers
Daniel Teymur;Chris Fishgold;Chris Fishgold
Dwight Grant;Carlo Pedersoli Jr.;Dwight Grant
Gian Villante;Michal Oleksiejczuk;Michal Oleksiejczuk
